A	B	Y	Z	u	coefficient
0	2	0	1	2	-2592915550503197184
0	2	0	1	1	-33804986656515962688
0	2	0	1	0	-22779741242155015584
0	2	0	0	4	1548855200676474000
0	2	0	0	3	70178805318244204800
0	2	0	0	2	589409331969426833520
0	2	0	0	1	-2885901529809952014768
0	2	0	0	0	-16240291589769160194576
0	1	5	0	1	43639043880960
0	1	5	0	0	-75376530339840
0	1	4	1	2	-793437161472
0	1	4	1	1	-8198850668544
0	1	4	1	0	124613714193408
0	1	4	0	2	-590713966715904
0	1	4	0	1	-23457176241758208
0	1	4	0	0	45280202529701376
0	1	3	2	1	-4496143915008
0	1	3	2	0	-12871313952768
0	1	3	1	3	3305988172800
0	1	3	1	2	570216840044544
0	1	3	1	1	2413801144606464
0	1	3	1	0	-57735953769148416
0	1	3	0	3	1552161447129600
0	1	3	0	2	276028060667332608
0	1	3	0	1	5021900090460938880
0	1	3	0	0	-10596614133925393920
0	1	2	3	0	-5950778711040
0	1	2	2	2	28497618049536
0	1	2	2	1	1983460664153088
0	1	2	2	0	4891650300080640
0	1	2	1	3	-1851353376768000
0	1	2	1	2	-140607776414518272
0	1	2	1	1	-165290614711460352
0	1	2	1	0	10004987863243264896
0	1	2	0	3	-580845592020096000
0	1	2	0	2	-48049509591592483968
0	1	2	0	1	-536321119278085065216
0	1	2	0	0	1214186794117828264512
0	1	1	3	2	-176319369216
0	1	1	3	1	47143391344128
0	1	1	3	0	1631064364853760
0	1	1	2	3	-38845361030400
0	1	1	2	2	-8011963157135616
0	1	1	2	1	-299858425119006912
0	1	1	2	0	-646108426811765376
0	1	1	1	3	334023821027020800
0	1	1	1	2	14615973591993727488
0	1	1	1	1	-6564660596562483072
0	1	1	1	0	-766613670600215191104
0	1	1	0	3	71240846373658555200
0	1	1	0	2	3691051753331474517312
0	1	1	0	1	28624450803299791854768
0	1	1	0	0	-68370400527677562852864
0	1	0	4	1	-146932807680
0	1	0	4	0	14541042053376
0	1	0	3	3	734664038400
0	1	0	3	2	-35480599734528
0	1	0	3	1	-6494718455091072
0	1	0	3	0	-115563690034944192
0	1	0	2	3	5462181209001600
0	1	0	2	2	585952054411684608
